team,continent,goles_favor,goles_contra
Brazil,southamerica,7,2
Mexico,northamerica,4,1
Croatia,europe,6,6
Cameroon,africa,1,9
Netherlands,europe,10,3
Chile,southamerica,5,3
Spain,europe,4,7
Australia,asia,3,9
Colombia,southamerica,9,2
Greece,europe,2,4
Ivory Coast,africa,4,5
Japan,asia,2,6
Costa Rica,northamerica,4,1
Uruguay,southamerica,4,4
Italy,europe,2,3
England,europe,2,4
France,europe,8,2
Switzerland,europe,7,6
Ecuador,southamerica,3,3
Honduras,northamerica,1,8
Argentina,southamerica,6,3
Nigeria,africa,3,3
Bosnia and Herzegovina,europe,4,4
Iran,asia,1,4
Germany,europe,7,2
United States,northamerica,4,4
Portugal,europe,4,7
Ghana,africa,4,6
Belgium,europe,4,1
Algeria,africa,6,5
Russia,europe,2,3
South Korea,asia,3,6
